customer_id,customer_segment,account_creation_method,country_code
b7f5c3b1-728f-4c76-b229-3be8442856d3,Startup,Google,US
47843576-df0f-4ba8-b8bd-ff6704d91489,Enterprise,LinkedIn,US
a083a506-732f-41a9-95c3-0d59e7d4a0d7,SMB,Email,GB
050d3f04-e887-4780-a50f-80288666fae3,SMB,Google,FR
d90d2350-eb60-49d9-b326-d77e4887ed37,Startup,Google,GB
c13940a6-948b-457d-bc3a-8b853c77acef,Startup,LinkedIn,BR
373341f8-8161-42aa-a90d-2da20d49d27a,Startup,Microsoft,BR
ee6465a8-7fc8-481e-b6a5-96bc22bc53e0,Midmarket,Email,GB
862e42fd-a925-421b-bdff-462688465058,SMB,Google,GB
e490800a-c1c6-498e-8a28-542a9f6afa27,SMB,Email,FR
c60dc3f6-d993-4c9b-90c5-8b8aa105c8bf,Startup,Google,CA
dfa17dc5-648f-4135-bb47-416f4cca0761,Enterprise,Email,AU
0c19964b-ba3a-4b11-bf31-44b2d62e8f43,Midmarket,Email,JP
6d23fd6e-8ba8-42f4-a634-e0e1f5be15da,Startup,Email,BR
fbf6073f-b468-486b-9a51-c8b8c2028844,Startup,Google,AU
3ef1aae1-e645-41b4-9007-9bb10678bbf2,Startup,Email,GB
c5294fa4-cf8c-4338-9714-154bd5ff6e81,Startup,LinkedIn,FR
4d80b654-e16d-4d77-bcc2-a0e425db9063,SMB,Email,DE
5c71ff94-1c67-44f9-81bd-9f1229780b27,Startup,Email,FR
9fe30d51-3665-4ac3-9cfc-bda890f69c90,Startup,LinkedIn,IN
9b6d3e9d-9826-4bac-9f8d-0353930d385c,SMB,Email,IN
6423ef0d-8090-497b-84ae-bbf5f781c6ae,Startup,Email,AU
c0c99737-3231-4046-8e25-d1b365de1765,Startup,Google,US
6a10c51b-6b68-4c2f-8c20-3a8b2c370749,Startup,Email,IN
f93eccab-6884-4052-a0f7-b6ddafec6970,SMB,Email,IN
14ef8c88-fe83-40e5-86a1-571c5bfa4b20,Midmarket,Email,CA
4f1b1fd2-31c2-4da7-a7c5-1ee16c30d4b7,Startup,Microsoft,DE
547e1f1d-b236-4446-afa3-16589fb94669,SMB,Google,CA
e4e6b8ba-5730-4079-bb82-bd992707191d,SMB,Google,DE
067d0402-9f25-4ce9-9d51-f3ce6b1aa805,Startup,Google,ZA
42995574-40eb-4979-b9eb-114c10ea8054,SMB,Email,JP
b5e54e8b-55f6-4a19-84d2-a0b354753451,Startup,Email,BR
e394f352-e842-4438-9d0d-b05b8c75fb83,Startup,LinkedIn,IN
8543d413-7bb2-4466-a7b3-aae53e76c7d8,Enterprise,Email,BR
ebb92749-7827-497c-8b02-c07b67e0cd61,Enterprise,Email,IN
9fa9d750-d377-4c88-96d5-9b1caacf3c40,Midmarket,Email,CA
38616290-0ed8-4ed4-871f-f82efeebed2a,Startup,Email,JP
69cfb2f0-1a1d-4d60-a100-1d82be23a1ac,Startup,SSO,CA
80d0202e-6f90-47c0-a6ea-53eaba2de2a7,SMB,Email,CA
5ceeebe2-c46e-4497-bda4-16d3754920da,Startup,Google,DE
e9fae6a4-5ad5-4ccd-84fb-daa33c48688a,Startup,Email,US
3589a091-9c1a-4053-a018-f932ba1f360e,SMB,SSO,FR
01162958-a81c-445b-aeb6-d935f152fa3f,Startup,Email,AU
59b6f085-c6cb-4961-809c-b828ae9f7e6d,Midmarket,Email,BR
51b770ed-ddc6-43f5-8b5d-f129d6982f4b,Startup,LinkedIn,ZA
53617b85-576f-4c67-9704-95538fee73c7,SMB,LinkedIn,IN
8486620b-096c-422b-8e60-18e90036c8c9,Startup,Email,CA
8b4be187-ddbb-4e11-a180-b68a99f05e4c,SMB,Email,US
f3595442-9409-4cdd-b3bd-e29dc7593e53,SMB,Email,CA
7345b753-73d8-4120-afe4-5670025411ef,Startup,Email,JP
80e669b0-a5d8-471a-a96a-e961a76a701a,Enterprise,Email,DE
c600b3c2-08ac-4f5d-ae40-c2ed42b8f890,Midmarket,Email,ZA
b0cc799e-8f55-4d70-ac2d-717440f6bbed,Enterprise,Email,FR
7bc39efb-3dec-4a25-ad36-ee5e8a9e9d56,Midmarket,Email,JP
34e9c7ce-bdd2-4bfd-aeac-a78fe3f54602,SMB,Google,GB
e6229585-c448-4641-b5ad-96004cbb47b8,Midmarket,SSO,ZA
c9bac2d2-bae2-49e6-bb73-8695d3f84931,Startup,Google,CA
fa8e620e-789b-44a5-8a8e-7367bc235824,Startup,Email,JP
41de0ac3-b02a-4527-8ebb-f35c2f65c11a,Startup,Email,FR
8bdd576d-f6c9-4b6e-b662-a1bd53b52a1b,Startup,SSO,US
57331e38-5bac-443a-b0ee-9b49e40a1765,Startup,Email,US
917530a9-afe1-4118-9e18-6a9af9b24e13,Startup,Email,BR
ac2299cc-3d52-4b54-9333-530c47768efd,Midmarket,Google,FR
