order_id,customer_id,product_id,purchase_ts,country_code,usd_price,order_status,payment_method,subscription_type
ef9d0970-7443-437e-8ec5-50c4539b691d,e77c4de1-42c0-4332-92cb-45d0b593608f,2,2023-01-26,IN,64.64,Completed,PayPal,Monthly
9a41a18f-3f03-473c-ba60-102273dec9a3,d0e55c3e-eb3c-4b8d-b6ee-d171e7ab3ec1,2,2024-11-23,ZA,64.6,Completed,ACH,Monthly
196cb610-7e82-45c8-9c7f-b5c17019aa1a,ddc2352e-c2f6-4bac-87d8-4572dba47abb,1,2023-04-06,AU,27.64,Completed,PayPal,Monthly
5c7a519e-6363-4487-a718-bad5016468c2,cabf36e8-d3e0-4140-abc0-aec0b85c444c,7,2023-08-14,BR,1221.99,Completed,Credit Card,Annual
829153f0-6f6c-4d5e-b7cb-16dc7986cb3e,34d21c5a-077e-4237-9f03-53c1c53cd798,7,2023-12-15,FR,128.29,Refunded,Wire Transfer,Monthly
c60d71d6-eec8-4f61-8894-a0b84ee715b3,d79b401b-7f0f-4334-ac9a-b9d11e4a0fe4,2,2024-01-25,FR,361.4,Completed,Wire Transfer,Annual
e0fbfcc1-7e4d-4845-887d-8324459fd908,f4854d51-3c41-477a-a121-b88011c6d09d,8,2024-07-03,CA,1878.14,Completed,Credit Card,Annual
82ac60ec-75f5-40c2-9132-52ba4a85b994,666796b2-bb12-4805-b9e0-ab6460d8b3be,5,2025-04-29,US,1570.52,Completed,PayPal,Annual
61385834-571e-4bc6-a90b-d588f4fd94ea,f46228c1-e1da-4df2-b81f-da583d8828af,2,2023-02-16,ZA,525.99,Completed,Credit Card,Annual
7d806d2d-a9be-428f-8c0e-ad76cf0133c8,bc17d6fd-580d-4db9-b182-baf459c7b71f,2,2024-01-25,JP,414.24,Completed,PayPal,Annual
ed92e4d4-b44d-4932-9937-29d3e20a6bd8,06942277-cfc6-428a-b2d1-a22251ac176b,6,2023-08-03,US,125.64,Completed,PayPal,Monthly
bd59c77e-bfbd-4f49-906a-284d1b741cc5,7121dd38-2297-45a7-856d-9d73d6ae896a,4,2023-06-17,BR,754.49,Completed,PayPal,Annual
1c862dbe-0e22-49e4-8452-2e83680ae290,75f47f63-5f89-460c-8b37-3b929f4485bd,6,2025-05-13,GB,132.44,Completed,PayPal,Monthly
e08ef7a0-a288-4223-840c-b307202b0b87,d0647fc1-6fd7-4beb-bc9a-b7c6abba78f2,6,2024-02-15,JP,97.75,Completed,Wire Transfer,Monthly
f537ed1c-2ad4-4bff-b79f-b07527dd36a3,b51ffe76-baed-4dd2-be59-05d5d9f228bd,8,2024-02-10,ZA,3003.9,Completed,PayPal,Annual
d6d52341-641e-41a2-bc2b-2a4160422d05,4b5d642c-022d-4f67-b6da-792e6abe0b60,3,2023-09-10,IN,2235.3,Completed,ACH,Annual
042ee3c1-7849-46f8-b7ed-942583659265,cec415b6-ff96-48a0-8329-8a695b036161,7,2024-01-06,JP,123.0,Completed,ACH,Monthly
a2b188d9-693c-47dc-8703-1710945d32de,fbb7a205-a73e-47b3-9ad0-09a1e6e56561,1,2025-05-31,IN,25.43,Completed,ACH,Monthly
6e0b13e0-0995-41d6-8d01-e44f97faa6fe,b60322c2-7f4d-4b84-af0a-80fab1d28cf0,2,2024-01-30,JP,444.46,Completed,Wire Transfer,Annual
b2a66044-fd7f-4f5c-8131-7674425c0cf3,e2fd49d7-6ec7-4ac3-8bc6-35bcd9fd8af6,1,2024-11-27,US,321.56,Completed,Wire Transfer,Annual
ba73fc0f-39f6-4082-a805-b92a3147a07d,8c39b491-38ce-4bd8-a3ab-0b1b7f2b8ac4,5,2024-03-21,CA,135.7,Refunded,Wire Transfer,Monthly
5605ca55-56df-4781-9c68-806673357fa4,c57d2ca5-8920-44f5-9190-70e47193e30d,3,2024-06-03,JP,2433.8,Completed,PayPal,Annual
44e69008-4ce8-4e62-a856-f48dbf9fc4a9,a5e9d223-0a7f-4a91-bee2-e3c96569be39,6,2025-02-19,DE,90.4,Completed,Wire Transfer,Monthly
d69caa1f-0a91-47f5-81d2-d2d0cac321e5,c5989ea2-8498-4dad-898f-7aa7d7159a05,1,2023-04-25,CA,357.52,Completed,PayPal,Annual
2fc4e2ab-669a-42c3-b4dc-115a645892fc,b6f9794c-3cae-4551-8ec8-a6ce69f7d8e3,4,2025-06-18,IN,94.57,Completed,Credit Card,Monthly
e50e903e-d17f-4d8a-8495-c4d68eeec477,1cba77ee-9682-4cdc-97d6-368255abeaed,8,2025-04-15,AU,211.26,Completed,PayPal,Monthly
5d7ea6ae-68b7-4e67-a4c1-99336cb8a729,b508abf6-0857-4430-a432-d0890775adf7,8,2025-08-27,GB,2507.76,Completed,ACH,Annual
a38b2804-2790-476f-ae02-521155110993,6105d121-d18e-4746-b6b1-c8373c42c0af,4,2024-12-31,GB,683.72,Refunded,ACH,Annual
3fefeda0-071c-401a-8dc9-f3f34c4bd029,972280c1-3416-4fe1-b192-407c2a905dd6,8,2023-05-04,US,242.41,Completed,Wire Transfer,Monthly
6ec28639-27aa-4e10-a8b9-3f2413226c12,d0a4c244-16b2-42c0-9bcd-bf4031312600,4,2024-08-25,IN,75.38,Completed,Credit Card,Monthly
